TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
32073SFTYK161IN,SAFETY-KLEEN SYSTEMS (307901),161 INDUSTRIAL LOOP S,ORANGE PARK,CLAY,FL,32073,30.179547,-81.714727,POLYCYCLIC AROMATIC COMPOUNDS
33069JRCNC311NW,CONCEPT 2 MARKET INC,3000-11 NW 25TH AVE,POMPANO BEACH,BROWARD,FL,33069,26.26827,-80.15692,LEAD COMPOUNDS
33572TMPLC13031,TAMPA ELECTRIC CO BIG BEND POWER STATION,13031 WYANDOTTE RD,APOLLO BEACH,HILLSBOROUGH,FL,33572,27.795252,-82.403209,MANGANESE COMPOUNDS
33572TMPLC13031,TAMPA ELECTRIC CO BIG BEND POWER STATION,13031 WYANDOTTE RD,APOLLO BEACH,HILLSBOROUGH,FL,33572,27.795252,-82.403209,ARSENIC COMPOUNDS
32819TNLCT9436S,EATON CORP,9436 SOUTHRIDGE PARK CT - SUITE 100,ORLANDO,ORANGE,FL,32819,28.42893,-81.41684,COPPER
3276WCMXRN217SR,CEMEX ORANGE CITY,2170 SR 472,ORANGE CITY,VOLUSIA,FL,32763,28.960703,-81.266748,LEAD COMPOUNDS
34641SLNDP1979W,TRADITIONAL WATERCRAFT INC DBA ISLAND PACKET YACHTS,1979 WILD ACRES RD,LARGO,PINELLAS,FL,33771,27.898734,-82.75366,STYRENE
33803QNTMM366CR,ITW PROFESSIONAL AUTOMOTIVE PRODUCTS,3606 CRAFTSMAN BLVD,LAKELAND,POLK,FL,33803,28.008549,-81.886385,"1,2,4-TRIMETHYLBENZENE"
33803QNTMM366CR,ITW PROFESSIONAL AUTOMOTIVE PRODUCTS,3606 CRAFTSMAN BLVD,LAKELAND,POLK,FL,33803,28.008549,-81.886385,CERTAIN GLYCOL ETHERS
32501RZNCH411SO,ARIZONA CHEMICAL CO LLC,411 S PACE BLVD,PENSACOLA,ESCAMBIA,FL,32502,30.407331,-87.241972,ETHYLBENZENE
32702SNVYP1851N,US NAVY PINECASTLE BOMBING RANGE,18510 NFS 524,ALTOONA,LAKE,FL,32702,29.117727,-81.706524,ALUMINUM (FUME OR DUST)
32737SLVRS25311,SILVER SPRINGS CITRUS INC,25411 MARE AVE,HOWEY-IN-THE-HILLS,LAKE,FL,34737,28.714886,-81.7806,CHLORINE
3331WMTVNT15SE2,MOTIVA ENTERPRISES LLC - PORT EVERGLADES EAST TERMINAL,1500 SE 26TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.090104,-80.127063,N-HEXANE
33426SFTYK5610A,SAFETY-KLEEN SYSTEMS (309701),5610 ALPHA DR,BOYNTON BEACH,PALM BEACH,FL,33426,26.540417,-80.0816,"BENZO(G,H,I)PERYLENE"
32321PLCHPHIGHW,APALACHEE POLE CO (PART),HWY 12 S,BRISTOL,LIBERTY,FL,32321,30.346655,-84.992615,CHROMIUM
33605GLFMR1200S,GULF MARINE REPAIR CORP,1800 GRANT ST,TAMPA,HILLSBOROUGH,FL,33605,27.944289,-82.440769,"1,2,4-TRIMETHYLBENZENE"
3354WZPHYR3946C,CEMEX ZEPHYRHILLS COPELAND,3946 COPELAND BLVD,ZEPHYRHILLS,PASCO,FL,33542,28.2115,-82.16501,LEAD COMPOUNDS
33316FPLPR8100E,FPL PORT EVERGLADES POWER PLANT,8100 EISENHOWER BLVD,FORT LAUDERDALE,BROWARD,FL,333163118,26.085278,-80.126111,POLYCYCLIC AROMATIC COMPOUNDS
33316FPLPR8100E,FPL PORT EVERGLADES POWER PLANT,8100 EISENHOWER BLVD,FORT LAUDERDALE,BROWARD,FL,333163118,26.085278,-80.126111,"1,2,4-TRIMETHYLBENZENE"
32060GLDKSUSHIG,PILGRIM'S PRIDE FEED MILL,1306 W HOWARD ST,LIVE OAK,SUWANNEE,FL,32060,30.302669,-82.998403,MANGANESE COMPOUNDS
33167CNSLD11550,PORT CONSOLIDATED INC,11550 NW 36TH AVE,MIAMI,MIAMI-DADE,FL,33167,25.87937,-80.25815,N-HEXANE
32702SNVYP1851N,US NAVY PINECASTLE BOMBING RANGE,18510 NFS 524,ALTOONA,LAKE,FL,32702,29.117727,-81.706524,LEAD
32669FLRDR4000N,FLORIDA ROCK INDUSTRIES INC,4000 NW COUNTY RD 235,NEWBERRY,ALACHUA,FL,32669,29.690671,-82.582134,LEAD COMPOUNDS
32669FLRDR4000N,FLORIDA ROCK INDUSTRIES INC,4000 NW COUNTY RD 235,NEWBERRY,ALACHUA,FL,32669,29.690671,-82.582134,DIOXIN AND DIOXIN-LIKE COMPOUNDS
33182CSRMR1200N,CEMEX MIAMI,1200 NW 137 AVE,MIAMI,MIAMI-DADE,FL,33182,25.786463,-80.421113,MERCURY COMPOUNDS
33597RBBNSSR50S,ROBBINS MFG CO,SR 50 & SR 471,TARRYTOWN,SUMTER,FL,33597,28.552778,-82.0575,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
33597RBBNSSR50S,ROBBINS MFG CO,SR 50 & SR 471,TARRYTOWN,SUMTER,FL,33597,28.552778,-82.0575,COPPER COMPOUNDS
33802HRRLL72KRA,HARRELLS INC,720 KRAFT RD,LAKELAND,POLK,FL,33815,28.03645,-82.02945,PENDIMETHALIN
32333TLGNT102TE,TELIGENTEMS LLC,102 TECHNOLOGY WAY,HAVANA,GADSDEN,FL,32333,30.618434,-84.417673,LEAD
33801SHRXP2525S,MOMENTIVE SPECIALTY CHEMICALS INC,2525 S COMBEE RD,LAKELAND,POLK,FL,33801,28.014987,-81.909058,CERTAIN GLYCOL ETHERS
33801SHRXP2525S,MOMENTIVE SPECIALTY CHEMICALS INC,2525 S COMBEE RD,LAKELAND,POLK,FL,33801,28.014987,-81.909058,METHANOL
32236RCHHLWESTB,REICHHOLD INC,54 WAMSLEY RD,JACKSONVILLE,DUVAL,FL,32254,30.326654,-81.745937,PHTHALIC ANHYDRIDE
32008SWNNM5117U,SUWANNEE AMERICAN CEMENT,5117 US HWY 27,BRANFORD,SUWANNEE,FL,32008,29.9616,-82.8497,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)"""
32008SWNNM5117U,SUWANNEE AMERICAN CEMENT,5117 US HWY 27,BRANFORD,SUWANNEE,FL,32008,29.9616,-82.8497,DIOXIN AND DIOXIN-LIKE COMPOUNDS
3340WTRMCM14535,TARMAC AMERICA-MANGONIA PARK RMC PLANT,1453 53RD ST,MANGONIA PARK,PALM BEACH,FL,33407,26.762635,-80.078896,LEAD
33801SHRXP2525S,MOMENTIVE SPECIALTY CHEMICALS INC,2525 S COMBEE RD,LAKELAND,POLK,FL,33801,28.014987,-81.909058,ETHYLBENZENE
32218SMCXX1181I,SEMCO,11801 INDUSTRY DR,JACKSONVILLE,DUVAL,FL,32218,30.45056,-81.62759,COPPER
33316MRDHS1501S,BUCKEYE TERMINALS LLC - FORT LAUDERDALE TERMINAL,1501 SE 20TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.09675,-80.12735,XYLENE (MIXED ISOMERS)
3331WMTVNT15SE2,MOTIVA ENTERPRISES LLC - PORT EVERGLADES EAST TERMINAL,1500 SE 26TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.090104,-80.127063,NAPHTHALENE
33316MRDHS1501S,BUCKEYE TERMINALS LLC - FORT LAUDERDALE TERMINAL,1501 SE 20TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.09675,-80.12735,"1,2,4-TRIMETHYLBENZENE"
32904RCCMN4317J,AERCCOM INC,4317-J FORTUNE PL,WEST MELBOURNE,BREVARD,FL,32904,28.094598,-80.697319,MERCURY
