FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 INDUSTRIAL RD,PASCAGOULA,JACKSON,MS,395813201,30.343733,-88.4938,"1,2,4-TRIMETHYLBENZENE"
TYSON FARMS INC,1785 INTERPLEX DR,VICKSBURG,WARREN,MS,39183,32.364588,-90.658471,AMMONIA
ODOM INDUSTRIES INC,800 ODOM INDUSTRIES RD,WAYNESBORO,WAYNE,MS,39367,31.6505,-88.642694,PROPANIL
KEMIRA CHEMICALS INC,10930 DARRACOTT RD,ABERDEEN,MONROE,MS,39730,33.803361,-88.541139,ACRYLIC ACID
GEORGIA-PACIFIC MONTICELLO LL C,SANDIFER HWY 5 MILES N OF MONTICELLO,MONTICELLO,LAWRENCE,MS,39654,31.625853,-90.0839,NITRATE COMPOUNDS
GEORGIA-PACIFIC MONTICELLO LL C,SANDIFER HWY 5 MILES N OF MONTICELLO,MONTICELLO,LAWRENCE,MS,39654,31.625853,-90.0839,CRESOL (MIXED ISOMERS)
GEORGIA-PACIFIC MONTICELLO LL C,SANDIFER HWY 5 MILES N OF MONTICELLO,MONTICELLO,LAWRENCE,MS,39654,31.625853,-90.0839,AMMONIA
KOCH FOODS OF MISSISSIPPI LLC,108 MORRIS TULLOS DR,MORTON,SCOTT,MS,39117,32.352972,-89.656528,PERACETIC ACID
KOCH FOODS OF MISSISSIPPI LLC,108 MORRIS TULLOS DR,MORTON,SCOTT,MS,39117,32.352972,-89.656528,AMMONIA
FISHER & LUDLOW,211 INDUSTRIAL DR,MADISON,MADISON,MS,39110,32.42327,-90.14145,MANGANESE
PRECOAT METALS,1095 MENDELL DAVIS DR,JACKSON,HINDS,MS,39272,32.166686,-90.262797,CERTAIN GLYCOL ETHERS
SOUTHWIRE CO,103 AIRPORT RD,STARKVILLE,OKTIBBEHA,MS,39759,33.436444,-88.846167,LEAD COMPOUNDS
SOUTHWIRE CO,103 AIRPORT RD,STARKVILLE,OKTIBBEHA,MS,39759,33.436444,-88.846167,COPPER
MGC TERMINAL LLC,101 65TH AVE,MERIDIAN,LAUDERDALE,MS,39307,32.35265,-88.74441,ETHYLBENZENE
MGC TERMINAL LLC,101 65TH AVE,MERIDIAN,LAUDERDALE,MS,39307,32.35265,-88.74441,"1,2,4-TRIMETHYLBENZENE"
US NAVY NAVAL AIR STATION MERIDIAN,255 ROSENBAUM AVE,MERIDIAN,LAUDERDALE,MS,39309,32.551013,-88.607173,NAPHTHALENE
TYSON FARMS INC - NESHOBA COUNTY FEED MILL,1300 RD 2219,UNION,NESHOBA,MS,39365,32.590694,-89.1305,ZINC COMPOUNDS
FLEXSTEEL INDUSTRIES INC,212 INDUSTRIAL PARK RD,STARKVILLE,OKTIBBEHA,MS,39759,33.4444,-88.8375,N-BUTYL ALCOHOL
DEEP SOUTH LUMBER,219 LANDRUM RD,DURANT,HOLMES,MS,39063,33.082418,-89.850029,LEAD
FLEXIBLE FOAM PRODUCTS INC,1124 N 2ND ST,BALDWYN,PRENTISS,MS,38824,34.526,-88.629898,TOLUENE DIISOCYANATE (MIXED ISOMERS)
SANDERSON FARMS INC,28163 HWY 28E,HAZLEHURST,COPIAH,MS,39083,31.876111,-90.380556,CHLORINE
AXEL AMERICAS LLC,150 CRUTCHERROAD,ROSEDALE,BOLIVAR,MS,38769,33.84365,-90.954586,ZINC COMPOUNDS
AXEL AMERICAS LLC,150 CRUTCHERROAD,ROSEDALE,BOLIVAR,MS,38769,33.84365,-90.954586,ANTIMONY COMPOUNDS
TYSON FARMS INC - CARTHAGE MS PROCESSING PLANT,3865 HWY 35N,CARTHAGE,LEAKE,MS,39051,32.825556,-89.534722,AMMONIA
TYSON FARMS INC - CARTHAGE MS PROCESSING PLANT,3865 HWY 35N,CARTHAGE,LEAKE,MS,39051,32.825556,-89.534722,CHLORINE
HUNT SOUTHLAND REFINING CO - SANDERSVILLE,177 HANEY RD HWY 11 N (2MI N OF SVILLE),HEIDELBERG,JONES,MS,39439,31.814461,-89.008903,XYLENE (MIXED ISOMERS)
HUNT SOUTHLAND REFINING CO - SANDERSVILLE,177 HANEY RD HWY 11 N (2MI N OF SVILLE),HEIDELBERG,JONES,MS,39439,31.814461,-89.008903,CYCLOHEXANE
SEVERSTAL COLUMBUS LLC,1945 AIRPORT RD,COLUMBUS,LOWNDES,MS,39701,33.445,-88.575278,ZINC COMPOUNDS
ERGON ASPHALT & EMULSIONS INC - YELLOW CREEK,35 CR 370,IUKA,TISHOMINGO,MS,38852,34.975737,-88.240143,"BENZO(G,H,I)PERYLENE"
SEVERSTAL COLUMBUS LLC,1945 AIRPORT RD,COLUMBUS,LOWNDES,MS,39701,33.445,-88.575278,LEAD COMPOUNDS
SEVERSTAL COLUMBUS LLC,1945 AIRPORT RD,COLUMBUS,LOWNDES,MS,39701,33.445,-88.575278,VANADIUM (EXCEPT WHEN CONTAINED IN AN ALLOY)
SEVERSTAL COLUMBUS LLC,1945 AIRPORT RD,COLUMBUS,LOWNDES,MS,39701,33.445,-88.575278,MANGANESE COMPOUNDS
